ip_address,mac_address,status,vlan
10.39.21.71,,Unreachable,18
10.39.21.72,,Unreachable,18
10.39.21.73,,Unreachable,18
10.39.21.74,,Unreachable,18
10.39.21.75,,Unreachable,18
10.39.21.76,,Unreachable,18
10.39.21.77,,Unreachable,18
10.39.21.78,,Unreachable,18
10.39.21.79,,Unreachable,18
10.39.21.80,,Unreachable,18
10.39.21.81,,Unreachable,18
10.39.21.82,,Unreachable,18
10.39.21.83,,Unreachable,18
10.39.21.84,,Unreachable,18
10.39.21.85,,Unreachable,18
10.39.21.86,,Unreachable,18
10.39.21.87,,Unreachable,18
10.39.21.88,,Unreachable,18
10.39.21.89,,Unreachable,18
10.39.21.90,,Unreachable,18
10.39.21.91,,Unreachable,18
10.39.21.92,,Unreachable,18
10.39.21.93,,Unreachable,18
10.39.21.94,,Unreachable,18
10.39.21.95,,Unreachable,18
10.39.21.96,,Unreachable,18
10.39.21.97,,Unreachable,18
10.39.21.98,,Unreachable,18
10.39.21.99,,Unreachable,18
10.39.21.100,,Unreachable,18
10.39.21.101,,Unreachable,18
10.39.21.102,,Unreachable,18
10.39.21.103,,Unreachable,18
10.39.21.104,,Unreachable,18
10.39.21.105,,Unreachable,18
10.39.21.106,,Unreachable,18
10.39.21.107,,Unreachable,18
10.39.21.108,,Unreachable,18
10.39.21.109,,Unreachable,18
10.39.21.110,,Unreachable,18
10.39.21.111,,Unreachable,18
10.39.21.112,,Unreachable,18
10.39.21.113,,Unreachable,18
10.39.21.114,,Unreachable,18
10.39.21.115,,Unreachable,18
10.39.21.116,,Unreachable,18
10.39.21.117,,Unreachable,18
10.39.21.118,,Unreachable,18
10.39.21.119,,Unreachable,18
10.39.21.120,,Unreachable,18
10.39.21.121,,Unreachable,18
10.39.21.122,,Unreachable,18
10.39.21.123,,Unreachable,18
10.39.21.124,,Unreachable,18
10.39.21.125,,Unreachable,18
10.39.21.126,,Unreachable,18
10.39.21.127,,Unreachable,18
10.39.21.128,,Unreachable,18
10.39.21.129,,Unreachable,18
10.39.21.130,,Unreachable,18
10.39.21.131,,Unreachable,18
10.39.21.132,,Unreachable,18
10.39.21.133,,Unreachable,18
10.39.21.134,,Unreachable,18
10.39.21.135,,Unreachable,18
10.39.21.136,,Unreachable,18
10.39.21.137,,Unreachable,18
10.39.21.138,,Unreachable,18
10.39.21.139,,Unreachable,18
10.39.21.140,,Unreachable,18
